TAP;HOM;BABTOMEG;TOMEG0;KEZELES
limitalt;hutott;0,176;0,007;LH
limitalt;hutott;0,197;0,013;LH
limitalt;hutott;0,183;0,015;LH
limitalt;hutott;0,209;0,015;LH
limitalt;hutott;0,205;0,017;LH
limitalt;hutott;0,197;0,025;LH
limitalt;hutott;0,205;0,034;LH
limitalt;hutott;0,191;0,039;LH
limitalt;hutott;0,234;0,044;LH
limitalt;szobahom;0,23;0,014;LS
limitalt;szobahom;0,213;0,015;LS
limitalt;szobahom;0,216;0,022;LS
limitalt;szobahom;0,159;0,027;LS
limitalt;szobahom;0,252;0,029;LS
limitalt;szobahom;0,227;0,032;LS
limitalt;szobahom;0,159;0,066;LS
limitalt;melegitett;0,186;0,004;LM
limitalt;melegitett;0,193;0,004;LM
limitalt;melegitett;0,24;0,007;LM
limitalt;melegitett;0,143;0,017;LM
limitalt;melegitett;0,188;0,022;LM
limitalt;melegitett;0,178;0,024;LM
limitalt;melegitett;0,232;0,025;LM
limitalt;melegitett;0,183;0,029;LM
limitalt;melegitett;0,179;0,03;LM
limitalt;melegitett;0,184;0,058;LM
adlibitum;hutott;0,28;0,001;AH
adlibitum;hutott;0,316;0,003;AH
adlibitum;hutott;0,307;0,005;AH
adlibitum;hutott;0,267;0,006;AH
adlibitum;hutott;0,298;0,007;AH
adlibitum;hutott;0,288;0,008;AH
adlibitum;hutott;0,333;0,008;AH
adlibitum;hutott;0,359;0,01;AH
adlibitum;hutott;0,293;0,012;AH
adlibitum;hutott;0,297;0,018;AH
adlibitum;szobahom;0,267;0,001;AS
adlibitum;szobahom;0,259;0,003;AS
adlibitum;szobahom;0,306;0,006;AS
adlibitum;szobahom;0,318;0,012;AS
adlibitum;szobahom;0,314;0,0123;AS
adlibitum;szobahom;0,293;0,016;AS
adlibitum;szobahom;0,34;0,022;AS
adlibitum;szobahom;0,31;0,023;AS
adlibitum;melegitett;0,32;0,001;AM
adlibitum;melegitett;0,308;0,004;AM
adlibitum;melegitett;0,316;0,006;AM
adlibitum;melegitett;0,336;0,007;AM
adlibitum;melegitett;0,279;0,009;AM
adlibitum;melegitett;0,311;0,01;AM
adlibitum;melegitett;0,291;0,013;AM
adlibitum;melegitett;0,329;0,013;AM
adlibitum;melegitett;0,23;0,019;AM
adlibitum;melegitett;0,314;0,019;AM
adlibitum;melegitett;0,375;0,053;AM
adlibitum;melegitett;0,316;0,019;AM
