BABTOMEG;HOM
0.176;hutott
0.197;hutott
0.183;hutott
0.209;hutott
0.205;hutott
0.197;hutott
0.205;hutott
0.191;hutott
0.234;hutott
0.23;szobahom
0.213;szobahom
0.216;szobahom
0.159;szobahom
0.252;szobahom
0.227;szobahom
0.159;szobahom
0.186;melegitett
0.193;melegitett
0.24;melegitett
0.143;melegitett
0.188;melegitett
0.178;melegitett
0.232;melegitett
0.183;melegitett
0.179;melegitett
0.184;melegitett
0.28;hutott
0.316;hutott
0.307;hutott
0.267;hutott
0.298;hutott
0.288;hutott
0.333;hutott
0.359;hutott
0.293;hutott
0.297;hutott
0.267;szobahom
0.259;szobahom
0.306;szobahom
0.318;szobahom
0.314;szobahom
0.293;szobahom
0.34;szobahom
0.31;szobahom
0.32;melegitett
0.308;melegitett
0.316;melegitett
0.336;melegitett
0.279;melegitett
0.311;melegitett
0.291;melegitett
0.329;melegitett
0.23;melegitett
0.314;melegitett
0.375;melegitett
0.316;melegitett
