TERULET;SEX;TOMEG;TESTH
Babat;suta;1.9;58
Pitvaros;suta;2.85;59
Pitvaros;suta;2.78;60
Pitvaros;suta;2.59;60
Pitvaros;suta;4.32;64.5
Babat;bak;3.05;65
Pitvaros;bak;4.55;67.5
Arpadhalom;suta;5.4;72
Pitvaros;suta;6.41;74
Pitvaros;bak;6;74.5
Babat;suta;9.5;77.5
Arpadhalom;suta;7.5;77.5
Pitvaros;suta;7.22;78
Arpadhalom;suta;7.5;79
Arpadhalom;suta;11;79
Babat;bak;10.5;79
Pitvaros;suta;7.7;80.5
Arpadhalom;bak;9;81.5
Arpadhalom;bak;8;82
Pitvaros;suta;8.4;82
Pitvaros;suta;8.12;83
Arpadhalom;bak;10;84.5
Arpadhalom;suta;11.5;84.5
Pitvaros;suta;8.3;85.5
Babat;suta;9;88.5
Pitvaros;bak;10.7;89
Babat;bak;14.2;89
Babat;suta;9;90.5
Babat;bak;14;91
Babat;bak;15;91
Pitvaros;bak;11.4;92.5
Arpadhalom;bak;13.5;93
Arpadhalom;bak;15.5;95
Babat;bak;17;95.5
Babat;suta;12.5;96
Arpadhalom;bak;14;96.5
Arpadhalom;suta;12.5;96.5
Arpadhalom;bak;14.5;96.5
Babat;bak;17;96.5
Babat;bak;15.5;97
Arpadhalom;bak;15;97.5
Babat;bak;19;97.5
Babat;bak;19;98
Pitvaros;bak;18;99.5
Pitvaros;bak;18;99.5
Arpadhalom;bak;15.3;100
Babat;bak;14.5;101
Pitvaros;bak;16;102
Pitvaros;bak;20;102
Babat;bak;22;102
Babat;bak;19;102.5
Arpadhalom;bak;17.5;103
Babat;bak;19;103
Babat;bak;21.5;103
Pitvaros;suta;13;103.5
Arpadhalom;bak;17;104
Babat;suta;20.5;104
Babat;bak;24;104.5
Babat;bak;22;104.5
Babat;bak;19;105
Babat;bak;18.5;105
Arpadhalom;bak;19.5;106
Babat;bak;22;106
Arpadhalom;suta;18.5;106.5
Pitvaros;suta;18.5;107
Arpadhalom;bak;17.5;107
Babat;bak;23;107
Arpadhalom;suta;15;107.5
Pitvaros;bak;16.7;108
Pitvaros;suta;27;108
Arpadhalom;suta;16.6;108.5
Arpadhalom;bak;20;108.5
Pitvaros;bak;19.5;109
Pitvaros;suta;21.5;109
Babat;bak;22.5;109.5
Pitvaros;bak;19;110
Arpadhalom;bak;22.5;110
Babat;bak;24.5;111
Arpadhalom;suta;23;111.5
Arpadhalom;suta;19.5;112
Pitvaros;suta;21;112
Pitvaros;bak;22.5;112
Arpadhalom;suta;27.5;112.5
Babat;bak;26;112.5
Arpadhalom;bak;25;113
Arpadhalom;bak;25;113
Arpadhalom;suta;20;113.5
Arpadhalom;suta;22;113.5
Pitvaros;suta;25.5;114
Babat;suta;26;114
Arpadhalom;bak;22.5;114.5
Pitvaros;suta;25.3;114.5
Arpadhalom;suta;25;115
Babat;suta;24.5;115
Arpadhalom;bak;27;115.5
Babat;bak;22;116
Babat;suta;24.5;117
Babat;bak;25.5;117
Pitvaros;bak;22;118
Pitvaros;bak;28.5;119
Pitvaros;suta;27.5;119
Arpadhalom;suta;24.5;121
Arpadhalom;suta;23.5;121
Arpadhalom;suta;26.2;121.5
Pitvaros;bak;30;122
Pitvaros;bak;32.7;124
Pitvaros;suta;27.5;124
Pitvaros;bak;27;124
Pitvaros;bak;26.8;124
Arpadhalom;suta;24.5;125
Pitvaros;suta;28;128
