TOMEG;ZSIGTOMEG;TESTH;MARMAG;OVMERET
19;14;98;65;57
18;12.5;99.5;75.5;62.5
18;13;99.5;72.5;64.5
21;14.7;106;77.5;64
17;12.6;106.5;72.5;61
20.5;15.2;111;78.5;66
23.3;17;112;79.5;66
23;17;112;81;66
19;15;113;83;61
21.5;16.5;114;78.5;65
19.5;14.3;115;78;61
25;19.5;117;80;71
20.5;15.5;117.5;80;66
21;15.5;118;77;62
23;18;120;75;66
25.2;19.5;120;81;64.5
23;16;121.5;73;64
27;19.5;121.5;75;66
27;19;122;81;65.5
22;16;122;78;61
23;17;122;78.5;65
21.5;15.5;103;75.5;66
19.5;14.5;106;71;62.5
21;14;108;73;61
20;16;108.5;75.5;61
22.5;16;114.5;78.5;61.5
9;6.5;81.5;60;44.5
22.5;17;110;78;62.5
25;18.1;113;76;66
22;14.5;116;70.5;68.5
32.7;23;124;86;72
22;18;106;75.5;64
21;16;114;76.5;62
17;12;96.5;71.5;62
21;15;104;75;60
22.5;15.5;109.5;74;68
21;14;112;76;59.5
25;18;113;79;69
25;19;114;79;72
27;;115.5;78.5;68
26;19.5;116;79;70.5
21.5;;118;73;69
26.4;20.4;119;83.5;75
28;21.5;123;82.5;68.5
18.5;15.5;102;74;61.5
23.5;17;112;74.2;61
26;16;114.5;80;72.5
24;17;104.5;79.5;67
19;14;105;72.5;68.5
18.5;13;105;75.5;60
27;20;106;76;73
20.5;;106.5;78;61
22.5;17;108;73;
23;16;108.5;76.5;68
26;19;114;83;64
28.5;19.5;115.5;82.5;72
22;17;117;77.3;62
22.5;16.5;111;77;63
20;15;107;77;62
18;14;107;69;61.5
23;16;113;75.5;61
21;14;116;74;65
24;18;122;74;64
22;18;104.5;76;68
28.5;21.5;119;81;72
19;12;102.5;71;67
23;15.5;104.5;72.5;60.5
28;20;113;81;72
18;;115;68;70
27.5;19;117;82;68
24;17.6;117;76;74
28;20.5;118;76.5;67
22;16.5;97;73;62
21;15.3;103;75.5;63
25;19;110;76;70.5
26.5;19.5;120;78.5;73
31.5;23;121;81;72.5
24;16;103;73.5;64
25;18;109;75;69
22;16.5;110;79.5;67
28;20;117;82;80.5
28.5;21;122.5;76.5;66
22;18;112;77.5;64
26;18;112.5;78;68.5
19.3;15.3;107;74.5;61
23;17;111;75;60.5
22;;113;78;66
26;18;115;80;65.5
25.1;20;122;80.5;74
33.5;24;119;84.5;72
30;22;122;78.5;68
23;17;107;77;63.5
27.5;23.5;114;80;74
26.5;20.5;122;78;70
24.5;18.7;115;80;70
28;;120;80;66.5
24.5;17;123;75;64
22;14.5;102;73.5;60.5
24.5;21;111;78;66.5
26;18;115;78.5;
24;18.9;116;78;65
28;20.5;117.5;84;72.5
23.5;17.6;124;83;73
25;18.5;112;82.5;71
37.5;28.7;134;91;76
27;20.5;124;84;69
22.5;16.5;112;78;67.5
25.5;16.5;117;71;66
26.8;20.8;124;82;70
